season,game_id,game_date,official_date,status,detailed_state,away_team,home_team,away_score,home_score,winner,home_win,away_probable_pitcher,home_probable_pitcher
2024,745444,2024-03-20T10:05:00Z,2024-03-20,Final,Final,Los Angeles Dodgers,San Diego Padres,5,2,Los Angeles Dodgers,0,Tyler Glasnow,Yu Darvish
2024,746175,2024-03-21T10:05:00Z,2024-03-21,Final,Final,San Diego Padres,Los Angeles Dodgers,15,11,San Diego Padres,0,Joe Musgrove,Yoshinobu Yamamoto
2024,747060,2024-03-28T19:05:00Z,2024-03-28,Final,Final,Los Angeles Angels,Baltimore Orioles,3,11,Baltimore Orioles,1,Patrick Sandoval,Corbin Burnes
2024,746737,2024-03-28T20:10:00Z,2024-03-28,Final,Final,Washington Nationals,Cincinnati Reds,2,8,Cincinnati Reds,1,Josiah Gray,Frankie Montas
2024,745445,2024-03-28T20:10:00Z,2024-03-28,Final,Final,San Francisco Giants,San Diego Padres,4,6,San Diego Padres,1,Logan Webb,Yu Darvish
2024,746165,2024-03-28T20:10:00Z,2024-03-28,Final,Final,St. Louis Cardinals,Los Angeles Dodgers,1,7,Los Angeles Dodgers,1,Miles Mikolas,Tyler Glasnow
2024,745116,2024-03-28T20:10:00Z,2024-03-28,Final,Final,Toronto Blue Jays,Tampa Bay Rays,8,2,Toronto Blue Jays,0,José Berríos,Zach Eflin
2024,746335,2024-03-28T20:10:00Z,2024-03-28,Final,Final,Minnesota Twins,Kansas City Royals,4,1,Minnesota Twins,0,Pablo López,Cole Ragans
2024,746821,2024-03-28T20:10:00Z,2024-03-28,Final,Final,Detroit Tigers,Chicago White Sox,1,0,Detroit Tigers,0,Tarik Skubal,Garrett Crochet
2024,746089,2024-03-28T20:10:00Z,2024-03-28,Final,Final,Pittsburgh Pirates,Miami Marlins,6,5,Pittsburgh Pirates,0,Mitch Keller,Jesús Luzardo
2024,746418,2024-03-28T20:10:00Z,2024-03-28,Final,Final,New York Yankees,Houston Astros,5,4,New York Yankees,0,Nestor Cortes,Framber Valdez
2024,745039,2024-03-28T23:35:00Z,2024-03-28,Final,Final,Chicago Cubs,Texas Rangers,3,4,Texas Rangers,1,Justin Steele,Nathan Eovaldi
2024,745687,2024-03-29T02:07:00Z,2024-03-28,Final,Final,Cleveland Guardians,Oakland Athletics,8,0,Cleveland Guardians,0,Shane Bieber,Alex Wood
2024,747224,2024-03-29T02:10:00Z,2024-03-28,Final,Final,Colorado Rockies,Arizona Diamondbacks,1,16,Arizona Diamondbacks,1,Kyle Freeland,Zac Gallen
2024,745283,2024-03-29T02:10:00Z,2024-03-28,Final,Final,Boston Red Sox,Seattle Mariners,6,4,Boston Red Sox,0,Brayan Bello,Luis Castillo
2024,745848,2024-03-28T17:10:00Z,2024-03-29,Final,Postponed,Milwaukee Brewers,New York Mets,,,,,Freddy Peralta,Jose Quintana
2024,745604,2024-03-28T19:05:00Z,2024-03-29,Final,Postponed,Atlanta Braves,Philadelphia Phillies,,,,,Spencer Strider,Zack Wheeler
2024,745848,2024-03-29T17:40:00Z,2024-03-29,Final,Final,Milwaukee Brewers,New York Mets,3,1,Milwaukee Brewers,0,Freddy Peralta,Jose Quintana
2024,745604,2024-03-29T19:05:00Z,2024-03-29,Final,Final,Atlanta Braves,Philadelphia Phillies,9,3,Atlanta Braves,0,Spencer Strider,Zack Wheeler
2024,745117,2024-03-29T22:50:00Z,2024-03-29,Final,Final,Toronto Blue Jays,Tampa Bay Rays,2,8,Tampa Bay Rays,1,Chris Bassitt,Aaron Civale
2024,746091,2024-03-29T23:10:00Z,2024-03-29,Final,Final,Pittsburgh Pirates,Miami Marlins,7,2,Pittsburgh Pirates,0,Martín Pérez,A.J. Puk
