season,game_id,game_date,official_date,status,detailed_state,away_team,home_team,away_score,home_score,winner,home_win,away_probable_pitcher,home_probable_pitcher
2023,718112,2023-05-20T00:10:00Z,2023-05-19,Final,Final,Oakland Athletics,Houston Astros,1,5,Houston Astros,1,Ken Waldichuk,Brandon Bielak
2023,718111,2023-05-20T00:10:00Z,2023-05-19,Final,Final,Kansas City Royals,Chicago White Sox,0,2,Chicago White Sox,1,Zack Greinke,Michael Kopech
2023,718113,2023-05-20T00:15:00Z,2023-05-19,Final,Final,Los Angeles Dodgers,St. Louis Cardinals,5,0,Los Angeles Dodgers,0,Tony Gonsolin,Steven Matz
2023,718106,2023-05-20T01:38:00Z,2023-05-19,Final,Final,Minnesota Twins,Los Angeles Angels,4,5,Los Angeles Angels,1,Joe Ryan,Reid Detmers
2023,718107,2023-05-20T01:40:00Z,2023-05-19,Final,Final,Boston Red Sox,San Diego Padres,6,1,Boston Red Sox,0,James Paxton,Blake Snell
2023,718105,2023-05-20T02:15:00Z,2023-05-19,Final,Final,Miami Marlins,San Francisco Giants,3,4,San Francisco Giants,1,Sandy Alcantara,Anthony DeSclafani
2023,718104,2023-05-20T18:10:00Z,2023-05-20,Final,Final,Kansas City Royals,Chicago White Sox,1,5,Chicago White Sox,1,Jordan Lyles,Lucas Giolito
2023,718102,2023-05-20T19:07:00Z,2023-05-20,Final,Final,Baltimore Orioles,Toronto Blue Jays,6,5,Baltimore Orioles,0,Grayson Rodriguez,Alek Manoah
2023,718108,2023-05-20T20:05:00Z,2023-05-20,Final,Final,Detroit Tigers,Washington Nationals,2,5,Washington Nationals,1,Alex Faedo,Patrick Corbin
2023,718101,2023-05-20T20:05:00Z,2023-05-20,Final,Final,Arizona Diamondbacks,Pittsburgh Pirates,4,3,Arizona Diamondbacks,0,Brandon Pfaadt,Mitch Keller
2023,718100,2023-05-20T20:05:00Z,2023-05-20,Final,Final,Colorado Rockies,Texas Rangers,5,11,Texas Rangers,1,Kyle Freeland,Jon Gray
2023,718097,2023-05-20T20:05:00Z,2023-05-20,Final,Final,Chicago Cubs,Philadelphia Phillies,3,12,Philadelphia Phillies,1,Jameson Taillon,Aaron Nola
2023,718103,2023-05-20T20:05:00Z,2023-05-20,Final,Final,Miami Marlins,San Francisco Giants,1,0,Miami Marlins,0,Braxton Garrett,Logan Webb
2023,718098,2023-05-20T20:10:00Z,2023-05-20,Final,Final,Oakland Athletics,Houston Astros,2,3,Houston Astros,1,JP Sears,Hunter Brown
2023,718095,2023-05-20T20:10:00Z,2023-05-20,Final,Final,New York Yankees,Cincinnati Reds,7,4,New York Yankees,0,Jhony Brito,Luke Weaver
2023,718093,2023-05-20T20:10:00Z,2023-05-20,Final,Final,Milwaukee Brewers,Tampa Bay Rays,4,8,Tampa Bay Rays,1,Eric Lauer,Zach Eflin
2023,718109,2023-05-20T23:15:00Z,2023-05-20,Final,Final,Los Angeles Dodgers,St. Louis Cardinals,5,6,St. Louis Cardinals,1,Noah Syndergaard,Miles Mikolas
2023,718094,2023-05-20T23:15:00Z,2023-05-20,Final,Final,Seattle Mariners,Atlanta Braves,7,3,Seattle Mariners,0,Logan Gilbert,Jesse Chavez
2023,718096,2023-05-21T02:07:00Z,2023-05-20,Final,Final,Minnesota Twins,Los Angeles Angels,6,2,Minnesota Twins,0,Louis Varland,Patrick Sandoval
2023,718092,2023-05-21T02:10:00Z,2023-05-20,Final,Final,Boston Red Sox,San Diego Padres,4,2,Boston Red Sox,0,Chris Sale,Joe Musgrove
2023,718099,2023-05-20T20:10:00Z,2023-05-21,Final,Postponed,Cleveland Guardians,New York Mets,,,,,Tanner Bibee,Max Scherzer
2023,718085,2023-05-21T15:35:00Z,2023-05-21,Final,Final,New York Yankees,Cincinnati Reds,4,1,New York Yankees,0,Luis Severino,Hunter Greene
