game_id,game_date,season,game_type,status,home_team,away_team,home_score,away_score,winner,home_win,away_win,venue,doubleheader,game_number
778563,2025-03-18T10:10:00Z,2025,R,Final,Chicago Cubs,Los Angeles Dodgers,1,4,Los Angeles Dodgers,0,1,Tokyo Dome,N,1
778564,2025-03-19T10:10:00Z,2025,R,Final,Chicago Cubs,Los Angeles Dodgers,3,6,Los Angeles Dodgers,0,1,Tokyo Dome,N,1
778557,2025-03-27T19:05:00Z,2025,R,Final,New York Yankees,Milwaukee Brewers,4,2,New York Yankees,1,0,Yankee Stadium,N,1
778556,2025-03-27T19:07:00Z,2025,R,Final,Toronto Blue Jays,Baltimore Orioles,2,12,Baltimore Orioles,0,1,Rogers Centre,N,1
778553,2025-03-27T20:05:00Z,2025,R,Final,Texas Rangers,Boston Red Sox,2,5,Boston Red Sox,0,1,Globe Life Field,N,1
778555,2025-03-27T20:05:00Z,2025,R,Final,Washington Nationals,Philadelphia Phillies,3,7,Philadelphia Phillies,0,1,Nationals Park,N,1
778558,2025-03-27T20:10:00Z,2025,R,Final,Kansas City Royals,Cleveland Guardians,4,7,Cleveland Guardians,0,1,Kauffman Stadium,N,1
778559,2025-03-27T20:10:00Z,2025,R,Final,Houston Astros,New York Mets,3,1,Houston Astros,1,0,Daikin Park,N,1
778561,2025-03-27T20:10:00Z,2025,R,Final,Cincinnati Reds,San Francisco Giants,4,6,San Francisco Giants,0,1,Great American Ball Park,N,1
778545,2025-03-27T20:10:00Z,2025,R,Final,San Diego Padres,Atlanta Braves,7,4,San Diego Padres,1,0,Petco Park,N,1
778554,2025-03-27T20:10:00Z,2025,R,Final,Chicago White Sox,Los Angeles Angels,8,1,Chicago White Sox,1,0,Rate Field,N,1
778562,2025-03-27T20:10:00Z,2025,R,Final,Miami Marlins,Pittsburgh Pirates,5,4,Miami Marlins,1,0,loanDepot park,N,1
778551,2025-03-27T20:15:00Z,2025,R,Final,St. Louis Cardinals,Minnesota Twins,5,3,St. Louis Cardinals,1,0,Busch Stadium,N,1
778546,2025-03-27T23:10:00Z,2025,R,Final,Los Angeles Dodgers,Detroit Tigers,5,4,Los Angeles Dodgers,1,0,Dodger Stadium,N,1
778552,2025-03-28T02:10:00Z,2025,R,Final,Arizona Diamondbacks,Chicago Cubs,6,10,Chicago Cubs,0,1,Chase Field,N,1
778547,2025-03-28T02:10:00Z,2025,R,Final,Seattle Mariners,Athletics,4,2,Seattle Mariners,1,0,T-Mobile Park,N,1
778560,2025-03-28T20:10:00Z,2025,R,Final,Tampa Bay Rays,Colorado Rockies,3,2,Tampa Bay Rays,1,0,George M. Steinbrenner Field,N,1
778549,2025-03-28T23:07:00Z,2025,R,Final,Toronto Blue Jays,Baltimore Orioles,8,2,Toronto Blue Jays,1,0,Rogers Centre,N,1
778548,2025-03-28T23:10:00Z,2025,R,Final,Miami Marlins,Pittsburgh Pirates,3,4,Pittsburgh Pirates,0,1,loanDepot park,N,1
778550,2025-03-29T00:05:00Z,2025,R,Final,Texas Rangers,Boston Red Sox,4,1,Texas Rangers,1,0,Globe Life Field,N,1
778518,2025-03-29T00:10:00Z,2025,R,Final,Houston Astros,New York Mets,1,3,New York Mets,0,1,Daikin Park,N,1
778543,2025-03-29T01:40:00Z,2025,R,Final,Arizona Diamondbacks,Chicago Cubs,8,1,Arizona Diamondbacks,1,0,Chase Field,N,1
778541,2025-03-29T01:40:00Z,2025,R,Final,Seattle Mariners,Athletics,0,7,Athletics,0,1,T-Mobile Park,N,1
778542,2025-03-29T01:40:00Z,2025,R,Final,San Diego Padres,Atlanta Braves,4,3,San Diego Padres,1,0,Petco Park,N,1
778544,2025-03-29T02:10:00Z,2025,R,Final,Los Angeles Dodgers,Detroit Tigers,8,5,Los Angeles Dodgers,1,0,Dodger Stadium,N,1
778538,2025-03-29T17:05:00Z,2025,R,Final,New York Yankees,Milwaukee Brewers,20,9,New York Yankees,1,0,Yankee Stadium,N,1
778534,2025-03-29T18:10:00Z,2025,R,Final,Chicago White Sox,Los Angeles Angels,0,1,Los Angeles Angels,0,1,Rate Field,N,1
778528,2025-03-29T18:15:00Z,2025,R,Final,St. Louis Cardinals,Minnesota Twins,5,1,St. Louis Cardinals,1,0,Busch Stadium,N,1
778536,2025-03-29T19:07:00Z,2025,R,Final,Toronto Blue Jays,Baltimore Orioles,5,9,Baltimore Orioles,0,1,Rogers Centre,N,1
778535,2025-03-29T20:05:00Z,2025,R,Final,Washington Nationals,Philadelphia Phillies,6,11,Philadelphia Phillies,0,1,Nationals Park,N,1
778529,2025-03-29T20:10:00Z,2025,R,Final,Kansas City Royals,Cleveland Guardians,4,3,Kansas City Royals,1,0,Kauffman Stadium,N,1
778540,2025-03-29T20:10:00Z,2025,R,Final,Cincinnati Reds,San Francisco Giants,3,2,Cincinnati Reds,1,0,Great American Ball Park,N,1
778537,2025-03-29T20:10:00Z,2025,R,Final,Tampa Bay Rays,Colorado Rockies,1,2,Colorado Rockies,0,1,George M. Steinbrenner Field,N,1
778539,2025-03-29T20:10:00Z,2025,R,Final,Miami Marlins,Pittsburgh Pirates,5,4,Miami Marlins,1,0,loanDepot park,N,1
778531,2025-03-29T23:05:00Z,2025,R,Final,Texas Rangers,Boston Red Sox,4,3,Texas Rangers,1,0,Globe Life Field,N,1
