game_id,game_date,season,game_type,status,home_team,away_team,home_score,away_score,winner,home_win,away_win,venue,doubleheader,game_number
634642,2021-04-01T17:05:00Z,2021,R,Final,New York Yankees,Toronto Blue Jays,2,3,Toronto Blue Jays,0,1,Yankee Stadium,N,1
634645,2021-04-01T17:10:00Z,2021,R,Final,Detroit Tigers,Cleveland Indians,3,2,Detroit Tigers,1,0,Comerica Park,N,1
634638,2021-04-01T18:10:00Z,2021,R,Final,Milwaukee Brewers,Minnesota Twins,6,5,Milwaukee Brewers,1,0,American Family Field,N,1
634634,2021-04-01T18:20:00Z,2021,R,Final,Chicago Cubs,Pittsburgh Pirates,3,5,Pittsburgh Pirates,0,1,Wrigley Field,N,1
634622,2021-04-01T19:05:00Z,2021,R,Final,Philadelphia Phillies,Atlanta Braves,3,2,Philadelphia Phillies,1,0,Citizens Bank Park,N,1
634615,2021-04-01T20:10:00Z,2021,R,Final,Colorado Rockies,Los Angeles Dodgers,8,5,Colorado Rockies,1,0,Coors Field,N,1
634618,2021-04-01T20:10:00Z,2021,R,Final,San Diego Padres,Arizona Diamondbacks,8,7,San Diego Padres,1,0,Petco Park,N,1
634636,2021-04-01T20:10:00Z,2021,R,Final,Cincinnati Reds,St. Louis Cardinals,6,11,St. Louis Cardinals,0,1,Great American Ball Park,N,1
634630,2021-04-01T20:10:00Z,2021,R,Final,Kansas City Royals,Texas Rangers,14,10,Kansas City Royals,1,0,Kauffman Stadium,N,1
634652,2021-04-01T20:10:00Z,2021,R,Final,Miami Marlins,Tampa Bay Rays,0,1,Tampa Bay Rays,0,1,loanDepot park,N,1
634655,2021-04-02T02:05:00Z,2021,R,Final,Los Angeles Angels,Chicago White Sox,4,3,Los Angeles Angels,1,0,Angel Stadium,N,1
634640,2021-04-02T02:07:00Z,2021,R,Final,Oakland Athletics,Houston Astros,1,8,Houston Astros,0,1,Oakland Coliseum,N,1
634625,2021-04-02T02:10:00Z,2021,R,Final,Seattle Mariners,San Francisco Giants,8,7,Seattle Mariners,1,0,T-Mobile Park,N,1
634627,2021-04-01T18:10:00Z,2021,R,Postponed,Boston Red Sox,Baltimore Orioles,,,,,,Fenway Park,N,1
634647,2021-04-01T23:09:00Z,2021,R,Postponed,Washington Nationals,New York Mets,,,,,,Nationals Park,N,1
634627,2021-04-02T18:10:00Z,2021,R,Final,Boston Red Sox,Baltimore Orioles,0,3,Baltimore Orioles,0,1,Fenway Park,N,1
634602,2021-04-02T23:10:00Z,2021,R,Final,Miami Marlins,Tampa Bay Rays,4,6,Tampa Bay Rays,0,1,loanDepot park,N,1
634653,2021-04-03T00:40:00Z,2021,R,Final,Colorado Rockies,Los Angeles Dodgers,6,11,Los Angeles Dodgers,0,1,Coors Field,N,1
634631,2021-04-03T01:38:00Z,2021,R,Final,Los Angeles Angels,Chicago White Sox,8,12,Chicago White Sox,0,1,Angel Stadium,N,1
634605,2021-04-03T01:40:00Z,2021,R,Final,Oakland Athletics,Houston Astros,5,9,Houston Astros,0,1,Oakland Coliseum,N,1
634576,2021-04-03T02:10:00Z,2021,R,Final,San Diego Padres,Arizona Diamondbacks,4,2,San Diego Padres,1,0,Petco Park,N,1
634578,2021-04-03T02:10:00Z,2021,R,Final,Seattle Mariners,San Francisco Giants,3,6,San Francisco Giants,0,1,T-Mobile Park,N,1
634644,2021-04-03T17:05:00Z,2021,R,Final,New York Yankees,Toronto Blue Jays,5,3,New York Yankees,1,0,Yankee Stadium,N,1
634577,2021-04-03T17:10:00Z,2021,R,Final,Boston Red Sox,Baltimore Orioles,2,4,Baltimore Orioles,0,1,Fenway Park,N,1
634573,2021-04-03T17:10:00Z,2021,R,Final,Detroit Tigers,Cleveland Indians,5,2,Detroit Tigers,1,0,Comerica Park,N,1
634604,2021-04-03T18:10:00Z,2021,R,Final,Kansas City Royals,Texas Rangers,11,4,Kansas City Royals,1,0,Kauffman Stadium,N,1
634643,2021-04-03T18:20:00Z,2021,R,Final,Chicago Cubs,Pittsburgh Pirates,5,1,Chicago Cubs,1,0,Wrigley Field,N,1
634580,2021-04-03T20:05:00Z,2021,R,Final,Philadelphia Phillies,Atlanta Braves,4,0,Philadelphia Phillies,1,0,Citizens Bank Park,N,1
