game_id,game_date,season,game_type,status,home_team,away_team,home_score,away_score,winner,home_win,away_win,venue,doubleheader,game_number
566083,2019-03-20T09:35:00Z,2019,R,Final,Oakland Athletics,Seattle Mariners,7,9,Seattle Mariners,0,1,Tokyo Dome,N,1
566084,2019-03-21T09:35:00Z,2019,R,Final,Oakland Athletics,Seattle Mariners,4,5,Seattle Mariners,0,1,Tokyo Dome,N,1
565895,2019-03-28T17:05:00Z,2019,R,Final,Washington Nationals,New York Mets,0,2,New York Mets,0,1,Nationals Park,N,1
567456,2019-03-28T17:05:00Z,2019,R,Final,New York Yankees,Baltimore Orioles,7,2,New York Yankees,1,0,Yankee Stadium,N,1
567552,2019-03-28T18:10:00Z,2019,R,Final,Milwaukee Brewers,St. Louis Cardinals,5,4,Milwaukee Brewers,1,0,Miller Park,N,1
567059,2019-03-28T19:05:00Z,2019,R,Final,Philadelphia Phillies,Atlanta Braves,10,4,Philadelphia Phillies,1,0,Citizens Bank Park,N,1
566864,2019-03-28T19:37:00Z,2019,R,Final,Toronto Blue Jays,Detroit Tigers,0,2,Detroit Tigers,0,1,Rogers Centre,N,1
566664,2019-03-28T20:00:00Z,2019,R,Final,Tampa Bay Rays,Houston Astros,1,5,Houston Astros,0,1,Tropicana Field,N,1
566763,2019-03-28T20:05:00Z,2019,R,Final,Texas Rangers,Chicago Cubs,4,12,Chicago Cubs,0,1,Globe Life Park in Arlington,N,1
566086,2019-03-28T20:07:00Z,2019,R,Final,Oakland Athletics,Los Angeles Angels,4,0,Oakland Athletics,1,0,Oakland Coliseum,N,1
565799,2019-03-28T20:10:00Z,2019,R,Final,Los Angeles Dodgers,Arizona Diamondbacks,12,5,Los Angeles Dodgers,1,0,Dodger Stadium,N,1
565220,2019-03-28T20:10:00Z,2019,R,Final,Cincinnati Reds,Pittsburgh Pirates,5,3,Cincinnati Reds,1,0,Great American Ball Park,N,1
566275,2019-03-28T20:10:00Z,2019,R,Final,San Diego Padres,San Francisco Giants,2,0,San Diego Padres,1,0,Petco Park,N,1
566962,2019-03-28T20:10:00Z,2019,R,Final,Minnesota Twins,Cleveland Indians,2,0,Minnesota Twins,1,0,Target Field,N,1
567359,2019-03-28T20:10:00Z,2019,R,Final,Miami Marlins,Colorado Rockies,3,6,Colorado Rockies,0,1,Marlins Park,N,1
565702,2019-03-28T20:15:00Z,2019,R,Final,Kansas City Royals,Chicago White Sox,5,3,Kansas City Royals,1,0,Kauffman Stadium,N,1
566372,2019-03-28T23:10:00Z,2019,R,Final,Seattle Mariners,Boston Red Sox,12,4,Seattle Mariners,1,0,T-Mobile Park,N,1
566865,2019-03-29T23:07:00Z,2019,R,Final,Toronto Blue Jays,Detroit Tigers,6,0,Toronto Blue Jays,1,0,Rogers Centre,N,1
566665,2019-03-29T23:10:00Z,2019,R,Final,Tampa Bay Rays,Houston Astros,4,2,Tampa Bay Rays,1,0,Tropicana Field,N,1
567360,2019-03-29T23:10:00Z,2019,R,Final,Miami Marlins,Colorado Rockies,1,6,Colorado Rockies,0,1,Marlins Park,N,1
567553,2019-03-30T00:10:00Z,2019,R,Final,Milwaukee Brewers,St. Louis Cardinals,5,9,St. Louis Cardinals,0,1,Miller Park,N,1
566087,2019-03-30T02:07:00Z,2019,R,Final,Oakland Athletics,Los Angeles Angels,2,6,Los Angeles Angels,0,1,Oakland Coliseum,N,1
565800,2019-03-30T02:10:00Z,2019,R,Final,Los Angeles Dodgers,Arizona Diamondbacks,4,5,Arizona Diamondbacks,0,1,Dodger Stadium,N,1
566373,2019-03-30T02:10:00Z,2019,R,Final,Seattle Mariners,Boston Red Sox,6,7,Boston Red Sox,0,1,T-Mobile Park,N,1
566276,2019-03-30T02:10:00Z,2019,R,Final,San Diego Padres,San Francisco Giants,4,1,San Diego Padres,1,0,Petco Park,N,1
565896,2019-03-30T17:05:00Z,2019,R,Final,Washington Nationals,New York Mets,8,11,New York Mets,0,1,Nationals Park,N,1
567457,2019-03-30T17:05:00Z,2019,R,Final,New York Yankees,Baltimore Orioles,3,5,Baltimore Orioles,0,1,Yankee Stadium,N,1
566963,2019-03-30T18:10:00Z,2019,R,Final,Minnesota Twins,Cleveland Indians,1,2,Cleveland Indians,0,1,Target Field,N,1
565703,2019-03-30T18:15:00Z,2019,R,Final,Kansas City Royals,Chicago White Sox,8,6,Kansas City Royals,1,0,Kauffman Stadium,N,1
566866,2019-03-30T19:07:00Z,2019,R,Final,Toronto Blue Jays,Detroit Tigers,3,0,Toronto Blue Jays,1,0,Rogers Centre,N,1
567060,2019-03-30T20:05:00Z,2019,R,Final,Philadelphia Phillies,Atlanta Braves,8,6,Philadelphia Phillies,1,0,Citizens Bank Park,N,1
566666,2019-03-30T22:10:00Z,2019,R,Final,Tampa Bay Rays,Houston Astros,3,1,Tampa Bay Rays,1,0,Tropicana Field,N,1
567361,2019-03-30T22:10:00Z,2019,R,Final,Miami Marlins,Colorado Rockies,7,3,Miami Marlins,1,0,Marlins Park,N,1
