game_id,game_date,season,home_team,away_team,home_starting_pitcher_id,away_starting_pitcher_id,home_starting_pitcher_name,away_starting_pitcher_name,home_pitcher_games_started_before,away_pitcher_games_started_before,home_pitcher_rest_days,away_pitcher_rest_days,home_pitcher_runs_allowed_last_3,away_pitcher_runs_allowed_last_3,home_pitcher_runs_allowed_last_10,away_pitcher_runs_allowed_last_10,home_pitcher_avg_runs_allowed_last_3,away_pitcher_avg_runs_allowed_last_3,home_pitcher_avg_runs_allowed_last_10,away_pitcher_avg_runs_allowed_last_10,home_pitcher_team_win_rate_started_before,away_pitcher_team_win_rate_started_before,home_pitcher_status,away_pitcher_status,pitcher_data_quality,pitcher_warnings
718097,2023-05-20T20:05:00Z,2023,Philadelphia Phillies,Chicago Cubs,605400,592791,Aaron Nola,Jameson Taillon,9,6,6,4,18,16,48,35,6.0,5.3333,5.3333,5.8333,0.4444,0.0,confirmed,confirmed,medium,
718100,2023-05-20T20:05:00Z,2023,Texas Rangers,Colorado Rockies,592351,607536,Jon Gray,Kyle Freeland,8,9,7,6,5,3,27,40,1.6667,1.0,3.375,4.4444,0.5,0.4444,confirmed,confirmed,medium,
718101,2023-05-20T20:05:00Z,2023,Pittsburgh Pirates,Arizona Diamondbacks,656605,694297,Mitch Keller,Brandon Pfaadt,9,3,6,6,8,14,26,14,2.6667,4.6667,2.8889,4.6667,0.7778,0.6667,confirmed,confirmed,medium,
718103,2023-05-20T20:05:00Z,2023,San Francisco Giants,Miami Marlins,657277,666129,Logan Webb,Braxton Garrett,9,7,6,6,5,20,40,30,1.6667,6.6667,4.4444,4.2857,0.3333,0.7143,confirmed,confirmed,medium,
718108,2023-05-20T20:05:00Z,2023,Washington Nationals,Detroit Tigers,571578,656412,Patrick Corbin,Alex Faedo,9,2,5,7,10,17,43,17,3.3333,8.5,4.7778,8.5,0.4444,0.0,confirmed,confirmed,low,Away starting pitcher has limited prior start history.
718093,2023-05-20T20:10:00Z,2023,Tampa Bay Rays,Milwaukee Brewers,621107,641778,Zach Eflin,Eric Lauer,7,7,6,11,13,17,23,33,4.3333,5.6667,3.2857,4.7143,0.8571,0.4286,confirmed,confirmed,medium,
718095,2023-05-20T20:10:00Z,2023,Cincinnati Reds,New York Yankees,596133,666745,Luke Weaver,Jhony Brito,5,8,6,10,17,10,27,30,5.6667,3.3333,5.4,3.75,0.4,0.5,confirmed,confirmed,medium,
718098,2023-05-20T20:10:00Z,2023,Houston Astros,Oakland Athletics,686613,676664,Hunter Brown,JP Sears,8,8,6,6,11,25,25,49,3.6667,8.3333,3.125,6.125,0.625,0.25,confirmed,confirmed,medium,
718094,2023-05-20T23:15:00Z,2023,Atlanta Braves,Seattle Mariners,445926,669302,Jesse Chavez,Logan Gilbert,0,8,,6,,9,,28,,3.0,,3.5,,0.375,confirmed,confirmed,low,Home starting pitcher has limited prior start history. | Home starting pitcher has no prior starts in the current season.
718109,2023-05-20T23:15:00Z,2023,St. Louis Cardinals,Los Angeles Dodgers,571945,592789,Miles Mikolas,Noah Syndergaard,9,8,6,4,8,13,38,47,2.6667,4.3333,4.2222,5.875,0.5556,0.5,confirmed,confirmed,medium,
718096,2023-05-21T02:07:00Z,2023,Los Angeles Angels,Minnesota Twins,663776,686973,Patrick Sandoval,Louis Varland,8,4,7,7,9,15,31,18,3.0,5.0,3.875,4.5,0.5,0.5,confirmed,confirmed,medium,
718092,2023-05-21T02:10:00Z,2023,San Diego Padres,Boston Red Sox,605397,519242,Joe Musgrove,Chris Sale,4,8,8,8,20,8,23,37,6.6667,2.6667,5.75,4.625,0.5,0.625,confirmed,confirmed,medium,
718085,2023-05-21T15:35:00Z,2023,Cincinnati Reds,New York Yankees,668881,622663,Hunter Greene,Luis Severino,9,0,5,,16,,36,,5.3333,,4.0,,0.2222,,confirmed,confirmed,low,Away starting pitcher has limited prior start history. | Away starting pitcher has no prior starts in the current season.
718088,2023-05-21T17:35:00Z,2023,Philadelphia Phillies,Chicago Cubs,592836,657006,Taijuan Walker,Justin Steele,9,9,4,4,11,12,48,26,3.6667,4.0,5.3333,2.8889,0.5556,0.6667,confirmed,confirmed,medium,
718089,2023-05-21T17:35:00Z,2023,Washington Nationals,Detroit Tigers,680686,666214,Josiah Gray,Joey Wentz,9,8,5,7,14,10,27,46,4.6667,3.3333,3.0,5.75,0.3333,0.5,confirmed,confirmed,medium,
718090,2023-05-21T17:35:00Z,2023,Atlanta Braves,Seattle Mariners,694363,669923,Jared Shuster,George Kirby,3,8,4,6,16,4,16,23,5.3333,1.3333,5.3333,2.875,0.0,0.625,confirmed,confirmed,medium,
718091,2023-05-21T17:35:00Z,2023,Pittsburgh Pirates,Arizona Diamondbacks,672710,518876,Roansy Contreras,Merrill Kelly,8,9,8,5,16,8,32,30,5.3333,2.6667,4.0,3.3333,0.5,0.5556,confirmed,confirmed,medium,
718087,2023-05-21T17:37:00Z,2023,Toronto Blue Jays,Baltimore Orioles,592332,665152,Kevin Gausman,Dean Kremer,9,9,5,5,19,8,39,42,6.3333,2.6667,4.3333,4.6667,0.4444,0.6667,confirmed,confirmed,medium,
718081,2023-05-21T17:40:00Z,2023,Tampa Bay Rays,Milwaukee Brewers,656222,642547,Jalen Beeks,Freddy Peralta,4,8,5,6,15,24,15,42,5.0,8.0,3.75,5.25,0.5,0.5,confirmed,confirmed,medium,
718099,2023-05-21T17:40:00Z,2023,New York Mets,Cleveland Guardians,453286,676440,Max Scherzer,Tanner Bibee,6,4,7,7,13,13,25,14,4.3333,4.3333,4.1667,3.5,0.6667,0.5,confirmed,confirmed,medium,
718084,2023-05-21T18:10:00Z,2023,Chicago White Sox,Kansas City Royals,458681,672578,Lance Lynn,Carlos Hernández,9,1,4,4,16,3,66,3,5.3333,3.0,7.3333,3.0,0.2222,1.0,confirmed,confirmed,low,Away starting pitcher has limited prior start history.
718086,2023-05-21T18:10:00Z,2023,Houston Astros,Oakland Athletics,664285,621076,Framber Valdez,James Kaprielian,9,4,5,8,9,33,35,45,3.0,11.0,3.8889,11.25,0.4444,0.0,confirmed,confirmed,medium,
718083,2023-05-21T18:15:00Z,2023,St. Louis Cardinals,Los Angeles Dodgers,656427,477132,Jack Flaherty,Clayton Kershaw,9,9,6,4,16,11,41,26,5.3333,3.6667,4.5556,2.8889,0.5556,0.6667,confirmed,confirmed,medium,
718076,2023-05-21T18:35:00Z,2023,Texas Rangers,Colorado Rockies,571760,657756,Andrew Heaney,Connor Seabold,8,3,7,5,20,15,37,15,6.6667,5.0,4.625,5.0,0.5,1.0,confirmed,confirmed,medium,
718078,2023-05-21T20:05:00Z,2023,San Francisco Giants,Miami Marlins,622072,666200,Alex Wood,Jesús Luzardo,4,9,5,5,7,12,13,31,2.3333,4.0,3.25,3.4444,0.75,0.7778,confirmed,confirmed,medium,
718080,2023-05-21T20:07:00Z,2023,Los Angeles Angels,Minnesota Twins,660271,641154,Shohei Ohtani,Pablo López,9,9,6,5,12,15,28,41,4.0,5.0,3.1111,4.5556,0.7778,0.5556,confirmed,confirmed,medium,
