game_id,game_date,season,game_type,status,home_team,away_team,home_score,away_score,winner,home_win,away_win,venue,doubleheader,game_number
446877,2016-04-03T17:05:00Z,2016,R,Final,Pittsburgh Pirates,St. Louis Cardinals,4,1,Pittsburgh Pirates,1,0,PNC Park,N,1
446911,2016-04-03T20:05:00Z,2016,R,Final,Tampa Bay Rays,Toronto Blue Jays,3,5,Toronto Blue Jays,0,1,Tropicana Field,N,1
446873,2016-04-04T00:37:00Z,2016,R,Final,Kansas City Royals,New York Mets,4,3,Kansas City Royals,1,0,Kauffman Stadium,N,1
446875,2016-04-04T18:10:00Z,2016,R,Final,Milwaukee Brewers,San Francisco Giants,3,12,San Francisco Giants,0,1,Miller Park,N,1
446872,2016-04-04T19:05:00Z,2016,R,Final,Baltimore Orioles,Minnesota Twins,3,2,Baltimore Orioles,1,0,Oriole Park at Camden Yards,N,1
446876,2016-04-04T20:05:00Z,2016,R,Final,Texas Rangers,Seattle Mariners,3,2,Texas Rangers,1,0,Globe Life Park in Arlington,N,1
446874,2016-04-04T20:10:00Z,2016,R,Final,Cincinnati Reds,Philadelphia Phillies,6,2,Cincinnati Reds,1,0,Great American Ball Park,N,1
446879,2016-04-04T20:10:00Z,2016,R,Final,Atlanta Braves,Washington Nationals,3,4,Washington Nationals,0,1,Turner Field,N,1
446871,2016-04-04T23:05:00Z,2016,R,Final,San Diego Padres,Los Angeles Dodgers,0,15,Los Angeles Dodgers,0,1,Petco Park,N,1
446878,2016-04-04T23:10:00Z,2016,R,Final,Tampa Bay Rays,Toronto Blue Jays,3,5,Toronto Blue Jays,0,1,Tropicana Field,N,1
446869,2016-04-05T01:40:00Z,2016,R,Final,Arizona Diamondbacks,Colorado Rockies,5,10,Colorado Rockies,0,1,Chase Field,N,1
446889,2016-04-05T02:05:00Z,2016,R,Final,Los Angeles Angels,Chicago Cubs,0,9,Chicago Cubs,0,1,Angel Stadium of Anaheim,N,1
446868,2016-04-05T02:05:00Z,2016,R,Final,Oakland Athletics,Chicago White Sox,3,4,Chicago White Sox,0,1,Oakland Coliseum,N,1
446870,2016-04-04T17:05:00Z,2016,R,Postponed,New York Yankees,Houston Astros,,,,,,Yankee Stadium,N,1
446867,2016-04-04T20:10:00Z,2016,R,Postponed,Cleveland Indians,Boston Red Sox,,,,,,Progressive Field,N,1
