game_id,game_date,season,game_type,status,home_team,away_team,home_score,away_score,winner,home_win,away_win,venue,doubleheader,game_number
823244,2026-03-26T00:05:00Z,2026,R,Final,San Francisco Giants,New York Yankees,0,7,New York Yankees,0,1,Oracle Park,N,1
823649,2026-03-26T17:15:00Z,2026,R,Final,New York Mets,Pittsburgh Pirates,11,7,New York Mets,1,0,Citi Field,N,1
823812,2026-03-26T18:10:00Z,2026,R,Final,Milwaukee Brewers,Chicago White Sox,14,2,Milwaukee Brewers,1,0,American Family Field,N,1
824704,2026-03-26T18:20:00Z,2026,R,Final,Chicago Cubs,Washington Nationals,4,10,Washington Nationals,0,1,Wrigley Field,N,1
824865,2026-03-26T19:05:00Z,2026,R,Final,Baltimore Orioles,Minnesota Twins,2,1,Baltimore Orioles,1,0,Oriole Park at Camden Yards,N,1
824541,2026-03-26T20:10:00Z,2026,R,Final,Cincinnati Reds,Boston Red Sox,0,3,Boston Red Sox,0,1,Great American Ball Park,N,1
824218,2026-03-26T20:10:00Z,2026,R,Final,Houston Astros,Los Angeles Angels,0,3,Los Angeles Angels,0,1,Daikin Park,N,1
823325,2026-03-26T20:10:00Z,2026,R,Final,San Diego Padres,Detroit Tigers,2,8,Detroit Tigers,0,1,Petco Park,N,1
823081,2026-03-26T20:15:00Z,2026,R,Final,St. Louis Cardinals,Tampa Bay Rays,9,7,St. Louis Cardinals,1,0,Busch Stadium,N,1
823486,2026-03-26T20:15:00Z,2026,R,Final,Philadelphia Phillies,Texas Rangers,5,3,Philadelphia Phillies,1,0,Citizens Bank Park,N,1
823974,2026-03-27T00:30:00Z,2026,R,Final,Los Angeles Dodgers,Arizona Diamondbacks,8,2,Los Angeles Dodgers,1,0,UNIQLO Field at Dodger Stadium,N,1
823163,2026-03-27T02:10:00Z,2026,R,Final,Seattle Mariners,Cleveland Guardians,4,6,Cleveland Guardians,0,1,T-Mobile Park,N,1
823243,2026-03-27T20:35:00Z,2026,R,Final,San Francisco Giants,New York Yankees,0,3,New York Yankees,0,1,Oracle Park,N,1
822839,2026-03-27T23:07:00Z,2026,R,Final,Toronto Blue Jays,Athletics,3,2,Toronto Blue Jays,1,0,Rogers Centre,N,1
823893,2026-03-27T23:10:00Z,2026,R,Final,Miami Marlins,Colorado Rockies,2,1,Miami Marlins,1,0,loanDepot park,N,1
824946,2026-03-27T23:15:00Z,2026,R,Final,Atlanta Braves,Kansas City Royals,6,0,Atlanta Braves,1,0,Truist Park,N,1
824216,2026-03-28T00:15:00Z,2026,R,Final,Houston Astros,Los Angeles Angels,2,6,Los Angeles Angels,0,1,Daikin Park,N,1
823324,2026-03-28T01:40:00Z,2026,R,Final,San Diego Padres,Detroit Tigers,2,5,Detroit Tigers,0,1,Petco Park,N,1
823162,2026-03-28T01:45:00Z,2026,R,Final,Seattle Mariners,Cleveland Guardians,5,1,Seattle Mariners,1,0,T-Mobile Park,N,1
823971,2026-03-28T02:10:00Z,2026,R,Final,Los Angeles Dodgers,Arizona Diamondbacks,5,4,Los Angeles Dodgers,1,0,UNIQLO Field at Dodger Stadium,N,1
823082,2026-03-28T18:15:00Z,2026,R,Final,St. Louis Cardinals,Tampa Bay Rays,6,5,St. Louis Cardinals,1,0,Busch Stadium,N,1
824701,2026-03-28T18:20:00Z,2026,R,Final,Chicago Cubs,Washington Nationals,10,2,Chicago Cubs,1,0,Wrigley Field,N,1
822838,2026-03-28T19:07:00Z,2026,R,Final,Toronto Blue Jays,Athletics,8,7,Toronto Blue Jays,1,0,Rogers Centre,N,1
824862,2026-03-28T20:05:00Z,2026,R,Final,Baltimore Orioles,Minnesota Twins,1,4,Minnesota Twins,0,1,Oriole Park at Camden Yards,N,1
823488,2026-03-28T20:05:00Z,2026,R,Final,Philadelphia Phillies,Texas Rangers,4,5,Texas Rangers,0,1,Citizens Bank Park,N,1
824540,2026-03-28T20:10:00Z,2026,R,Final,Cincinnati Reds,Boston Red Sox,6,5,Cincinnati Reds,1,0,Great American Ball Park,N,1
823651,2026-03-28T20:10:00Z,2026,R,Final,New York Mets,Pittsburgh Pirates,4,2,New York Mets,1,0,Citi Field,N,1
823892,2026-03-28T20:10:00Z,2026,R,Final,Miami Marlins,Colorado Rockies,4,3,Miami Marlins,1,0,loanDepot park,N,1
824213,2026-03-28T23:10:00Z,2026,R,Final,Houston Astros,Los Angeles Angels,11,9,Houston Astros,1,0,Daikin Park,N,1
823811,2026-03-28T23:10:00Z,2026,R,Final,Milwaukee Brewers,Chicago White Sox,6,1,Milwaukee Brewers,1,0,American Family Field,N,1
824945,2026-03-28T23:15:00Z,2026,R,Final,Atlanta Braves,Kansas City Royals,6,2,Atlanta Braves,1,0,Truist Park,N,1
823241,2026-03-28T23:15:00Z,2026,R,Final,San Francisco Giants,New York Yankees,1,3,New York Yankees,0,1,Oracle Park,N,1
823323,2026-03-29T00:40:00Z,2026,R,Final,San Diego Padres,Detroit Tigers,3,0,San Diego Padres,1,0,Petco Park,N,1
