game_id,game_date,season,game_type,status,home_team,away_team,home_score,away_score,winner,home_win,away_win,venue,doubleheader,game_number
490106,2017-04-02T17:10:00Z,2017,R,Final,Tampa Bay Rays,New York Yankees,7,3,Tampa Bay Rays,1,0,Tropicana Field,N,1
490110,2017-04-02T20:10:00Z,2017,R,Final,Arizona Diamondbacks,San Francisco Giants,6,5,Arizona Diamondbacks,1,0,Chase Field,N,1
490099,2017-04-03T00:35:00Z,2017,R,Final,St. Louis Cardinals,Chicago Cubs,4,3,St. Louis Cardinals,1,0,Busch Stadium,N,1
490105,2017-04-03T17:05:00Z,2017,R,Final,Washington Nationals,Miami Marlins,4,2,Washington Nationals,1,0,Nationals Park,N,1
490098,2017-04-03T17:10:00Z,2017,R,Final,New York Mets,Atlanta Braves,6,0,New York Mets,1,0,Citi Field,N,1
490108,2017-04-03T18:05:00Z,2017,R,Final,Boston Red Sox,Pittsburgh Pirates,5,3,Boston Red Sox,1,0,Fenway Park,N,1
490101,2017-04-03T18:10:00Z,2017,R,Final,Milwaukee Brewers,Colorado Rockies,5,7,Colorado Rockies,0,1,Miller Park,N,1
490112,2017-04-03T19:05:00Z,2017,R,Final,Baltimore Orioles,Toronto Blue Jays,3,2,Baltimore Orioles,1,0,Oriole Park at Camden Yards,N,1
490109,2017-04-03T20:10:00Z,2017,R,Final,Los Angeles Dodgers,San Diego Padres,14,3,Los Angeles Dodgers,1,0,Dodger Stadium,N,1
490103,2017-04-03T20:10:00Z,2017,R,Final,Minnesota Twins,Kansas City Royals,7,1,Minnesota Twins,1,0,Target Field,N,1
490107,2017-04-03T20:10:00Z,2017,R,Final,Cincinnati Reds,Philadelphia Phillies,3,4,Philadelphia Phillies,0,1,Great American Ball Park,N,1
490100,2017-04-03T23:05:00Z,2017,R,Final,Texas Rangers,Cleveland Indians,5,8,Cleveland Indians,0,1,Globe Life Park in Arlington,N,1
490111,2017-04-04T00:10:00Z,2017,R,Final,Houston Astros,Seattle Mariners,3,0,Houston Astros,1,0,Minute Maid Park,N,1
490104,2017-04-04T02:05:00Z,2017,R,Final,Oakland Athletics,Los Angeles Angels,4,2,Oakland Athletics,1,0,Oakland Coliseum,N,1
490102,2017-04-03T20:10:00Z,2017,R,Postponed,Chicago White Sox,Detroit Tigers,,,,,,Guaranteed Rate Field,N,1
490102,2017-04-04T18:10:00Z,2017,R,Final,Chicago White Sox,Detroit Tigers,3,6,Detroit Tigers,0,1,Guaranteed Rate Field,N,1
490116,2017-04-04T23:10:00Z,2017,R,Final,Tampa Bay Rays,New York Yankees,0,5,New York Yankees,0,1,Tropicana Field,N,1
490114,2017-04-04T23:40:00Z,2017,R,Final,Milwaukee Brewers,Colorado Rockies,5,6,Colorado Rockies,0,1,Miller Park,N,1
490113,2017-04-05T00:05:00Z,2017,R,Final,Texas Rangers,Cleveland Indians,3,4,Cleveland Indians,0,1,Globe Life Park in Arlington,N,1
490119,2017-04-05T00:10:00Z,2017,R,Final,Houston Astros,Seattle Mariners,2,1,Houston Astros,1,0,Minute Maid Park,N,1
490136,2017-04-05T00:15:00Z,2017,R,Final,St. Louis Cardinals,Chicago Cubs,1,2,Chicago Cubs,0,1,Busch Stadium,N,1
490118,2017-04-05T01:40:00Z,2017,R,Final,Arizona Diamondbacks,San Francisco Giants,4,8,San Francisco Giants,0,1,Chase Field,N,1
490115,2017-04-05T02:05:00Z,2017,R,Final,Oakland Athletics,Los Angeles Angels,6,7,Los Angeles Angels,0,1,Oakland Coliseum,N,1
490117,2017-04-05T02:10:00Z,2017,R,Final,Los Angeles Dodgers,San Diego Padres,0,4,San Diego Padres,0,1,Dodger Stadium,N,1
490125,2017-04-05T17:10:00Z,2017,R,Final,Minnesota Twins,Kansas City Royals,9,1,Minnesota Twins,1,0,Target Field,N,1
490134,2017-04-05T23:05:00Z,2017,R,Final,Baltimore Orioles,Toronto Blue Jays,3,1,Baltimore Orioles,1,0,Oriole Park at Camden Yards,N,1
490127,2017-04-05T23:05:00Z,2017,R,Final,Washington Nationals,Miami Marlins,6,4,Washington Nationals,1,0,Nationals Park,N,1
490130,2017-04-05T23:10:00Z,2017,R,Final,Boston Red Sox,Pittsburgh Pirates,3,0,Boston Red Sox,1,0,Fenway Park,N,1
490129,2017-04-05T23:10:00Z,2017,R,Final,Cincinnati Reds,Philadelphia Phillies,2,0,Cincinnati Reds,1,0,Great American Ball Park,N,1
490120,2017-04-05T23:10:00Z,2017,R,Final,New York Mets,Atlanta Braves,1,3,Atlanta Braves,0,1,Citi Field,N,1
490128,2017-04-05T23:10:00Z,2017,R,Final,Tampa Bay Rays,New York Yankees,4,1,Tampa Bay Rays,1,0,Tropicana Field,N,1
490122,2017-04-06T00:05:00Z,2017,R,Final,Texas Rangers,Cleveland Indians,6,9,Cleveland Indians,0,1,Globe Life Park in Arlington,N,1
490133,2017-04-06T00:10:00Z,2017,R,Final,Houston Astros,Seattle Mariners,5,3,Houston Astros,1,0,Minute Maid Park,N,1
490123,2017-04-06T00:10:00Z,2017,R,Final,Milwaukee Brewers,Colorado Rockies,6,1,Milwaukee Brewers,1,0,Miller Park,N,1
490132,2017-04-06T01:40:00Z,2017,R,Final,Arizona Diamondbacks,San Francisco Giants,8,6,Arizona Diamondbacks,1,0,Chase Field,N,1
490126,2017-04-06T02:05:00Z,2017,R,Final,Oakland Athletics,Los Angeles Angels,0,5,Los Angeles Angels,0,1,Oakland Coliseum,N,1
490131,2017-04-06T02:10:00Z,2017,R,Final,Los Angeles Dodgers,San Diego Padres,3,1,Los Angeles Dodgers,1,0,Dodger Stadium,N,1
490121,2017-04-05T17:45:00Z,2017,R,Postponed,St. Louis Cardinals,Chicago Cubs,,,,,,Busch Stadium,N,1
490124,2017-04-05T18:10:00Z,2017,R,Postponed,Chicago White Sox,Detroit Tigers,,,,,,Guaranteed Rate Field,N,1
490142,2017-04-06T16:35:00Z,2017,R,Final,Cincinnati Reds,Philadelphia Phillies,7,4,Cincinnati Reds,1,0,Great American Ball Park,N,1
490139,2017-04-06T17:10:00Z,2017,R,Final,Minnesota Twins,Kansas City Royals,5,3,Minnesota Twins,1,0,Target Field,N,1
490137,2017-04-06T17:40:00Z,2017,R,Final,Milwaukee Brewers,Colorado Rockies,1,2,Colorado Rockies,0,1,Miller Park,N,1
490121,2017-04-06T17:45:00Z,2017,R,Final,St. Louis Cardinals,Chicago Cubs,4,6,Chicago Cubs,0,1,Busch Stadium,N,1
490138,2017-04-06T18:10:00Z,2017,R,Final,Chicago White Sox,Detroit Tigers,11,2,Chicago White Sox,1,0,Guaranteed Rate Field,N,1
490144,2017-04-06T19:10:00Z,2017,R,Final,Los Angeles Dodgers,San Diego Padres,10,2,Los Angeles Dodgers,1,0,Dodger Stadium,N,1
490140,2017-04-06T19:35:00Z,2017,R,Final,Oakland Athletics,Los Angeles Angels,5,1,Oakland Athletics,1,0,Oakland Coliseum,N,1
490141,2017-04-06T20:05:00Z,2017,R,Final,Washington Nationals,Miami Marlins,3,4,Miami Marlins,0,1,Nationals Park,N,1
490147,2017-04-06T23:10:00Z,2017,R,Final,Tampa Bay Rays,Toronto Blue Jays,2,5,Toronto Blue Jays,0,1,Tropicana Field,N,1
490135,2017-04-06T23:10:00Z,2017,R,Final,New York Mets,Atlanta Braves,6,2,New York Mets,1,0,Citi Field,N,1
490146,2017-04-07T00:10:00Z,2017,R,Final,Houston Astros,Seattle Mariners,2,4,Seattle Mariners,0,1,Minute Maid Park,N,1
490145,2017-04-07T01:40:00Z,2017,R,Final,Arizona Diamondbacks,San Francisco Giants,9,3,Arizona Diamondbacks,1,0,Chase Field,N,1
490143,2017-04-06T17:35:00Z,2017,R,Postponed,Boston Red Sox,Pittsburgh Pirates,,,,,,Fenway Park,N,1
490148,2017-04-07T17:05:00Z,2017,R,Final,Pittsburgh Pirates,Atlanta Braves,5,4,Pittsburgh Pirates,1,0,PNC Park,N,1
490149,2017-04-07T17:10:00Z,2017,R,Final,Detroit Tigers,Boston Red Sox,6,5,Detroit Tigers,1,0,Comerica Park,N,1
490162,2017-04-07T19:05:00Z,2017,R,Final,Philadelphia Phillies,Washington Nationals,6,7,Washington Nationals,0,1,Citizens Bank Park,N,1
490154,2017-04-07T20:10:00Z,2017,R,Final,Colorado Rockies,Los Angeles Dodgers,2,1,Colorado Rockies,1,0,Coors Field,N,1
490159,2017-04-07T22:40:00Z,2017,R,Final,San Diego Padres,San Francisco Giants,7,6,San Diego Padres,1,0,Petco Park,N,1
490157,2017-04-07T23:05:00Z,2017,R,Final,Baltimore Orioles,New York Yankees,6,5,Baltimore Orioles,1,0,Oriole Park at Camden Yards,N,1
490161,2017-04-07T23:10:00Z,2017,R,Final,Tampa Bay Rays,Toronto Blue Jays,10,8,Tampa Bay Rays,1,0,Tropicana Field,N,1
490155,2017-04-07T23:10:00Z,2017,R,Final,New York Mets,Miami Marlins,2,7,Miami Marlins,0,1,Citi Field,N,1
490158,2017-04-08T00:05:00Z,2017,R,Final,Texas Rangers,Oakland Athletics,10,5,Texas Rangers,1,0,Globe Life Park in Arlington,N,1
490153,2017-04-08T00:10:00Z,2017,R,Final,Houston Astros,Kansas City Royals,1,5,Kansas City Royals,0,1,Minute Maid Park,N,1
490156,2017-04-08T00:10:00Z,2017,R,Final,Chicago White Sox,Minnesota Twins,1,3,Minnesota Twins,0,1,Guaranteed Rate Field,N,1
490150,2017-04-08T00:10:00Z,2017,R,Final,Milwaukee Brewers,Chicago Cubs,2,1,Milwaukee Brewers,1,0,Miller Park,N,1
490151,2017-04-08T00:15:00Z,2017,R,Final,St. Louis Cardinals,Cincinnati Reds,0,2,Cincinnati Reds,0,1,Busch Stadium,N,1
