game_id,game_date,season,game_type,status,home_team,away_team,home_score,away_score,winner,home_win,away_win,venue,doubleheader,game_number
630851,2020-07-23T23:08:00Z,2020,R,Completed Early,Washington Nationals,New York Yankees,1,4,New York Yankees,0,1,Nationals Park,N,1
631377,2020-07-24T02:08:00Z,2020,R,Final,Los Angeles Dodgers,San Francisco Giants,8,1,Los Angeles Dodgers,1,0,Dodger Stadium,N,1
631242,2020-07-24T20:10:00Z,2020,R,Final,New York Mets,Atlanta Braves,1,0,New York Mets,1,0,Citi Field,N,1
631589,2020-07-24T22:10:00Z,2020,R,Final,Cincinnati Reds,Detroit Tigers,7,1,Cincinnati Reds,1,0,Great American Ball Park,N,1
630966,2020-07-24T22:40:00Z,2020,R,Final,Tampa Bay Rays,Toronto Blue Jays,4,6,Toronto Blue Jays,0,1,Tropicana Field,N,1
631121,2020-07-24T23:05:00Z,2020,R,Final,Philadelphia Phillies,Miami Marlins,2,5,Miami Marlins,0,1,Citizens Bank Park,N,1
631563,2020-07-24T23:10:00Z,2020,R,Final,Cleveland Indians,Kansas City Royals,2,0,Cleveland Indians,1,0,Progressive Field,N,1
631641,2020-07-24T23:10:00Z,2020,R,Final,Chicago Cubs,Milwaukee Brewers,3,0,Chicago Cubs,1,0,Wrigley Field,N,1
631664,2020-07-24T23:30:00Z,2020,R,Final,Boston Red Sox,Baltimore Orioles,13,2,Boston Red Sox,1,0,Fenway Park,N,1
630941,2020-07-25T00:05:00Z,2020,R,Final,Texas Rangers,Colorado Rockies,1,0,Texas Rangers,1,0,Globe Life Field,N,1
631514,2020-07-25T00:10:00Z,2020,R,Final,Chicago White Sox,Minnesota Twins,5,10,Minnesota Twins,0,1,Guaranteed Rate Field,N,1
630989,2020-07-25T00:15:00Z,2020,R,Final,St. Louis Cardinals,Pittsburgh Pirates,5,4,St. Louis Cardinals,1,0,Busch Stadium,N,1
631091,2020-07-25T01:10:00Z,2020,R,Final,San Diego Padres,Arizona Diamondbacks,7,2,San Diego Padres,1,0,Petco Park,N,1
631438,2020-07-25T01:10:00Z,2020,R,Final,Houston Astros,Seattle Mariners,8,2,Houston Astros,1,0,Minute Maid Park,N,1
631378,2020-07-25T01:40:00Z,2020,R,Final,Los Angeles Dodgers,San Francisco Giants,9,1,Los Angeles Dodgers,1,0,Dodger Stadium,N,1
631182,2020-07-25T02:10:00Z,2020,R,Final,Oakland Athletics,Los Angeles Angels,7,3,Oakland Athletics,1,0,Oakland Coliseum,N,1
631642,2020-07-25T17:05:00Z,2020,R,Final,Chicago Cubs,Milwaukee Brewers,3,8,Milwaukee Brewers,0,1,Wrigley Field,N,1
631666,2020-07-25T17:35:00Z,2020,R,Final,Boston Red Sox,Baltimore Orioles,2,7,Baltimore Orioles,0,1,Fenway Park,N,1
631515,2020-07-25T18:10:00Z,2020,R,Final,Chicago White Sox,Minnesota Twins,10,3,Chicago White Sox,1,0,Guaranteed Rate Field,N,1
630992,2020-07-25T18:15:00Z,2020,R,Final,St. Louis Cardinals,Pittsburgh Pirates,9,1,St. Louis Cardinals,1,0,Busch Stadium,N,1
630967,2020-07-25T19:10:00Z,2020,R,Final,Tampa Bay Rays,Toronto Blue Jays,4,1,Tampa Bay Rays,1,0,Tropicana Field,N,1
630942,2020-07-25T20:05:00Z,2020,R,Final,Texas Rangers,Colorado Rockies,2,3,Colorado Rockies,0,1,Globe Life Field,N,1
631108,2020-07-25T20:05:00Z,2020,R,Final,Philadelphia Phillies,Miami Marlins,7,1,Philadelphia Phillies,1,0,Citizens Bank Park,N,1
631181,2020-07-25T20:10:00Z,2020,R,Final,Oakland Athletics,Los Angeles Angels,1,4,Los Angeles Angels,0,1,Oakland Coliseum,N,1
631453,2020-07-25T20:10:00Z,2020,R,Final,Houston Astros,Seattle Mariners,7,2,Houston Astros,1,0,Minute Maid Park,N,1
631382,2020-07-25T20:10:00Z,2020,R,Final,Los Angeles Dodgers,San Francisco Giants,4,5,San Francisco Giants,0,1,Dodger Stadium,N,1
631241,2020-07-25T20:10:00Z,2020,R,Final,New York Mets,Atlanta Braves,3,5,Atlanta Braves,0,1,Citi Field,N,1
631603,2020-07-25T21:10:00Z,2020,R,Final,Cincinnati Reds,Detroit Tigers,4,6,Detroit Tigers,0,1,Great American Ball Park,N,1
631565,2020-07-25T21:10:00Z,2020,R,Final,Cleveland Indians,Kansas City Royals,2,3,Kansas City Royals,0,1,Progressive Field,N,1
630899,2020-07-25T23:15:00Z,2020,R,Final,Washington Nationals,New York Yankees,9,2,Washington Nationals,1,0,Nationals Park,N,1
631092,2020-07-26T01:10:00Z,2020,R,Final,San Diego Padres,Arizona Diamondbacks,5,1,San Diego Padres,1,0,Petco Park,N,1
631126,2020-07-26T17:05:00Z,2020,R,Final,Philadelphia Phillies,Miami Marlins,6,11,Miami Marlins,0,1,Citizens Bank Park,N,1
630856,2020-07-26T17:05:00Z,2020,R,Final,Washington Nationals,New York Yankees,2,3,New York Yankees,0,1,Nationals Park,N,1
631591,2020-07-26T17:10:00Z,2020,R,Final,Cincinnati Reds,Detroit Tigers,2,3,Detroit Tigers,0,1,Great American Ball Park,N,1
631566,2020-07-26T17:10:00Z,2020,R,Final,Cleveland Indians,Kansas City Royals,9,2,Cleveland Indians,1,0,Progressive Field,N,1
630968,2020-07-26T17:10:00Z,2020,R,Final,Tampa Bay Rays,Toronto Blue Jays,6,5,Tampa Bay Rays,1,0,Tropicana Field,N,1
631668,2020-07-26T17:35:00Z,2020,R,Final,Boston Red Sox,Baltimore Orioles,4,7,Baltimore Orioles,0,1,Fenway Park,N,1
631441,2020-07-26T18:10:00Z,2020,R,Final,Houston Astros,Seattle Mariners,6,7,Seattle Mariners,0,1,Minute Maid Park,N,1
631517,2020-07-26T18:10:00Z,2020,R,Final,Chicago White Sox,Minnesota Twins,2,14,Minnesota Twins,0,1,Guaranteed Rate Field,N,1
630993,2020-07-26T18:15:00Z,2020,R,Final,St. Louis Cardinals,Pittsburgh Pirates,1,5,Pittsburgh Pirates,0,1,Busch Stadium,N,1
631643,2020-07-26T18:20:00Z,2020,R,Final,Chicago Cubs,Milwaukee Brewers,9,1,Chicago Cubs,1,0,Wrigley Field,N,1
630943,2020-07-26T18:35:00Z,2020,R,Final,Texas Rangers,Colorado Rockies,2,5,Colorado Rockies,0,1,Globe Life Field,N,1
631165,2020-07-26T20:10:00Z,2020,R,Final,Oakland Athletics,Los Angeles Angels,6,4,Oakland Athletics,1,0,Oakland Coliseum,N,1
631097,2020-07-26T20:10:00Z,2020,R,Final,San Diego Padres,Arizona Diamondbacks,3,4,Arizona Diamondbacks,0,1,Petco Park,N,1
631240,2020-07-26T23:08:00Z,2020,R,Final,New York Mets,Atlanta Braves,1,14,Atlanta Braves,0,1,Citi Field,N,1
631384,2020-07-27T02:08:00Z,2020,R,Final,Los Angeles Dodgers,San Francisco Giants,1,3,San Francisco Giants,0,1,Dodger Stadium,N,1
631168,2020-07-27T19:40:00Z,2020,R,Final,Oakland Athletics,Los Angeles Angels,3,0,Oakland Athletics,1,0,Oakland Coliseum,N,1
631098,2020-07-27T20:10:00Z,2020,R,Final,San Diego Padres,Arizona Diamondbacks,6,2,San Diego Padres,1,0,Petco Park,N,1
630861,2020-07-27T22:05:00Z,2020,R,Final,Washington Nationals,Toronto Blue Jays,1,4,Toronto Blue Jays,0,1,Nationals Park,N,1
631592,2020-07-27T22:40:00Z,2020,R,Final,Cincinnati Reds,Chicago Cubs,7,8,Chicago Cubs,0,1,Great American Ball Park,N,1
630969,2020-07-27T22:40:00Z,2020,R,Final,Tampa Bay Rays,Atlanta Braves,14,5,Tampa Bay Rays,1,0,Tropicana Field,N,1
631130,2020-07-27T23:05:00Z,2020,R,Final,Pittsburgh Pirates,Milwaukee Brewers,5,6,Milwaukee Brewers,0,1,PNC Park,N,1
631489,2020-07-27T23:10:00Z,2020,R,Final,Detroit Tigers,Kansas City Royals,6,14,Kansas City Royals,0,1,Comerica Park,N,1
631442,2020-07-27T23:10:00Z,2020,R,Final,Houston Astros,Seattle Mariners,8,5,Houston Astros,1,0,Minute Maid Park,N,1
631669,2020-07-27T23:35:00Z,2020,R,Final,Boston Red Sox,New York Mets,4,7,New York Mets,0,1,Fenway Park,N,1
631127,2020-07-27T23:05:00Z,2020,R,Postponed,Philadelphia Phillies,New York Yankees,,,,,,Citizens Bank Park,N,1
631567,2020-07-27T23:10:00Z,2020,R,Postponed,Cleveland Indians,Chicago White Sox,,,,,,Progressive Field,N,1
631339,2020-07-27T23:10:00Z,2020,R,Postponed,Miami Marlins,Baltimore Orioles,,,,,,Marlins Park,N,1
631573,2020-07-28T19:40:00Z,2020,R,Final,Cleveland Indians,Chicago White Sox,4,3,Cleveland Indians,1,0,Progressive Field,Y,1
631567,2020-07-28T19:45:00Z,2020,R,Final,Cleveland Indians,Chicago White Sox,5,3,Cleveland Indians,1,0,Progressive Field,Y,2
630866,2020-07-28T22:05:00Z,2020,R,Final,Washington Nationals,Toronto Blue Jays,1,5,Toronto Blue Jays,0,1,Nationals Park,N,1
631593,2020-07-28T22:40:00Z,2020,R,Final,Cincinnati Reds,Chicago Cubs,5,8,Chicago Cubs,0,1,Great American Ball Park,N,1
630970,2020-07-28T22:40:00Z,2020,R,Final,Tampa Bay Rays,Atlanta Braves,5,2,Tampa Bay Rays,1,0,Tropicana Field,N,1
631132,2020-07-28T23:05:00Z,2020,R,Final,Pittsburgh Pirates,Milwaukee Brewers,8,6,Pittsburgh Pirates,1,0,PNC Park,N,1
631490,2020-07-28T23:10:00Z,2020,R,Final,Detroit Tigers,Kansas City Royals,4,3,Detroit Tigers,1,0,Comerica Park,N,1
631663,2020-07-28T23:30:00Z,2020,R,Final,Boston Red Sox,New York Mets,3,8,New York Mets,0,1,Fenway Park,N,1
631269,2020-07-29T00:10:00Z,2020,R,Final,Minnesota Twins,St. Louis Cardinals,6,3,Minnesota Twins,1,0,Target Field,N,1
630944,2020-07-29T01:05:00Z,2020,R,Final,Texas Rangers,Arizona Diamondbacks,1,4,Arizona Diamondbacks,0,1,Globe Life Field,N,1
631443,2020-07-29T01:10:00Z,2020,R,Final,Houston Astros,Los Angeles Dodgers,2,5,Los Angeles Dodgers,0,1,Minute Maid Park,N,1
631171,2020-07-29T01:40:00Z,2020,R,Final,Oakland Athletics,Colorado Rockies,3,8,Colorado Rockies,0,1,Oakland Coliseum,N,1
631387,2020-07-29T01:40:00Z,2020,R,Final,Los Angeles Angels,Seattle Mariners,10,2,Los Angeles Angels,1,0,Angel Stadium,N,1
631014,2020-07-29T01:45:00Z,2020,R,Final,San Francisco Giants,San Diego Padres,3,5,San Diego Padres,0,1,Oracle Park,N,1
631129,2020-07-28T22:05:00Z,2020,R,Postponed,Philadelphia Phillies,New York Yankees,,,,,,Citizens Bank Park,N,1
631340,2020-07-28T23:10:00Z,2020,R,Postponed,Miami Marlins,Baltimore Orioles,,,,,,Marlins Park,N,1
631172,2020-07-29T19:40:00Z,2020,R,Final,Oakland Athletics,Colorado Rockies,1,5,Colorado Rockies,0,1,Oakland Coliseum,N,1
630940,2020-07-29T20:05:00Z,2020,R,Final,Texas Rangers,Arizona Diamondbacks,7,4,Texas Rangers,1,0,Globe Life Field,N,1
630916,2020-07-29T22:05:00Z,2020,R,Final,Toronto Blue Jays,Washington Nationals,0,4,Washington Nationals,0,1,Nationals Park,N,1
631569,2020-07-29T22:10:00Z,2020,R,Final,Cleveland Indians,Chicago White Sox,0,4,Chicago White Sox,0,1,Progressive Field,N,1
631594,2020-07-29T22:40:00Z,2020,R,Final,Cincinnati Reds,Chicago Cubs,12,7,Cincinnati Reds,1,0,Great American Ball Park,N,1
631137,2020-07-29T23:05:00Z,2020,R,Final,Pittsburgh Pirates,Milwaukee Brewers,0,3,Milwaukee Brewers,0,1,PNC Park,N,1
631492,2020-07-29T23:10:00Z,2020,R,Final,Detroit Tigers,Kansas City Royals,5,4,Detroit Tigers,1,0,Comerica Park,N,1
631444,2020-07-29T23:10:00Z,2020,R,Final,Houston Astros,Los Angeles Dodgers,2,4,Los Angeles Dodgers,0,1,Minute Maid Park,N,1
